# Inventaire des séries mensuelles homogénéisées fournies pour : TN
# TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
nom_fichier;num_poste;nom_usuel;latitude(°);longitude(°);altitude(m);num_serie; date_debut_serie(YYYYMM);date_fin_serie(YYYYMM);etat_poste
SH_MTN297208001.csv;97208001;FOND-DENIS-CADET;14.735;-61.145;493;MTN297208001;196501;202112;ouvert
SH_MTN297209004.csv;97209004;FORT-DE-FRANCE DESAIX;14.618;-61.064;143;MTN297209004;196501;202112;ouvert
SH_MTN297213004.csv;97213004;LAMENTIN-AERO;14.595;-60.996;3;MTN297213004;196501;202112;ouvert
SH_MTN297218002.csv;97218002;MORNE-ROUGE-CHAMP;14.755;-61.11;350;MTN297218002;196501;202112;ouvert
SH_MTN197304003.csv;97304003;KOUROU CSG;5.209;-52.748;17;MTN197304003;196701;201512;ouvert
SH_MTN197307001.csv;97307001;CAYENNE-MATOURY;4.822;-52.365;4;MTN197307001;195501;201512;ouvert
SH_MTN197308001.csv;97308001;SAINT GEORGES;3.891;-51.805;6;MTN197308001;195501;201512;ouvert
SH_MTN197311001.csv;97311001;SAINT LAURENT;5.486;-54.032;5;MTN197311001;195501;201512;ouvert
SH_MTN097352001.csv;97352001;SAUL_SAPC;3.624;-53.208;219;MTN097352001;195501;201512;ouvert
SH_MTN197353001.csv;97353001;MARIPASOULA;3.64;-54.028;106;MTN197353001;195501;201512;ouvert
SH_MTN097409240.csv;97409240;MENCIOL;-20.961;55.626;181;MTN097409240;196801;201312;ouvert
SH_MTN197413520.csv;97413520;COLIMACONS;-21.13;55.305;798;MTN197413520;196801;201312;ouvert
SH_MTN097416463.csv;97416463;PIERREFONDS-AEROPORT;-21.32;55.426;21;MTN097416463;196801;201312;ouvert
SH_MTN097416465.csv;97416465;LIGNE-PARADIS - CIRAD;-21.315;55.487;178;MTN097416465;196801;201312;ouvert
SH_MTN197418110.csv;97418110;GILLOT-AEROPORT;-20.892;55.529;8;MTN197418110;196801;201312;ouvert
SH_MTN197422440.csv;97422440;PLAINE DES CAFRES;-21.209;55.573;1560;MTN197422440;196801;201312;ouvert
SH_MTN098715002.csv;98715002;FAAA;-17.555;-149.614;2;MTN098715002;197201;201512;ouvert
SH_MTN098720002.csv;98720002;HAO AERO;-18.063;-140.961;5;MTN098720002;196401;201712;ouvert
SH_MTN098749001.csv;98749001;TAKAROA;-14.457;-145.025;2;MTN098749001;196401;201712;ouvert
SH_MTN098750003.csv;98750003;OPOA;-16.827;-151.373;2;MTN098750003;197201;201512;ouvert
SH_MTN198803003.csv;98803003;NESSADIOU;-21.621;165.48;2;MTN198803003;196701;201512;ouvert
SH_MTN198808001.csv;98808001;HOUAILOU P;-21.278;165.628;11;MTN198808001;196501;201512;ouvert
SH_MTN098809001.csv;98809001;MOUE;-22.59;167.452;95;MTN098809001;197201;201512;ouvert
SH_MTN198811001.csv;98811001;KONE;-21.051;164.834;9;MTN198811001;196501;201512;ouvert
SH_MTN198812001.csv;98812001;KOUMAC;-20.559;164.284;25;MTN198812001;196501;201512;ouvert
SH_MTN198813001.csv;98813001;LA FOA;-21.701;165.815;12;MTN198813001;196501;201512;ouvert
SH_MTN198814001.csv;98814001;OUANAHAM;-20.778;167.241;30;MTN198814001;196501;201512;ouvert
SH_MTN198815001.csv;98815001;LA ROCHE;-21.482;168.036;41;MTN198815001;197201;201512;ouvert
SH_MTN198818001.csv;98818001;NOUMEA;-22.276;166.453;69;MTN198818001;196501;201512;ouvert
SH_MTN198818002.csv;98818002;MAGENTA;-22.26;166.474;3;MTN198818002;196501;201512;ouvert
SH_MTN198821001.csv;98821001;LA TONTOUTA;-22.017;166.222;37;MTN198821001;196501;201512;ouvert
SH_MTN198822001.csv;98822001;POINDIMIE;-20.933;165.328;14;MTN198822001;196501;201512;ouvert
SH_MTN198823001.csv;98823001;PONERIHOUEN;-21.072;165.404;27;MTN198823001;196901;201512;ouvert
SH_MTN198827001.csv;98827001;POYA;-21.345;165.157;7;MTN198827001;196501;201512;ouvert
SH_MTN198829001.csv;98829001;THIO P.;-21.611;166.216;10;MTN198829001;196501;201512;fermé au 2021-06-30
SH_MTN198832002.csv;98832002;YATE MRIE;-22.157;166.939;25;MTN198832002;196501;201512;ouvert
